067  Credito banco Horas;;;;;;;21h47min;;;;557,39;;500  Aviso Prévio;;;;;;;;;4.657,85;;
090  Líquido Negativo;;;;;;;;;;;722,27;;501  Resc. Antes do Prazo Determin.;;;;;;;;;2.632,50;;
199  Saldo de Salário;;;;;;;;;;;7.236,67;;502  INSS (Rescisão);;;;;;;;;859,46;;
200  Aviso Prévio;;;;;;;;;;;6.855,69;;504  INSS 13º Salário;;;;;;;;;436,89;;
205  Férias Proporcionais;;;;;;;;;;;8.470,60;;947  Des. Refeição;;;;;;;;;54,96;;
206  Férias (Aviso Prévio);;;;;;;;;;;571,31;;953  Ifood Beneficios não utilizado;;;;;;;;;400,00;;
208  13º Salário;;;;;;;;;;;5.825,80;;954  Vale Transporte não utilizado;;;;;;;;;1.292,00;;
209  13º Salário (Aviso Prévio);;;;;;;;;;;571,31;;957  Debito de Banco de Horas;;;;;5h34min;;;;44,74;;
212  1/3 de Férias Proporcionais;;;;;;;;;;;3.013,97;;962  Atrasos;;;;;41h09min;;;;360,90;;
956  Premio Meta - CCT;;;;;;;;;;;457,30;;963  Consignado Crédito Trabalhador;;;;;;;;;380,23;;
975  Bonificação;;;;;;;;;;;1.150,00;;964  Consignado Crédito Trabalhador;;;;;;;;;133,66;;
979  Comissão F&I;;;;;;;;;;;243,95;;965  Consignado Crédito Trabalhador;;;;;;;;;264,22;;
980  Comissão s/ vendas;;;;;;;;;;;721,93;;971  Vale Refeição não utilizado;;;;;;;;;1.960,00;;
996  Dif. do Piso da Categoria;;;;;;;;;;;45,53;;972  Débito de banco Horas;;;;;9h05min;;;;102,19;;
997  Premio F&I;;;;;;;;;;;104,55;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;14.918,29;;
;;;;;;;;;;;;;;;;;;;;;;24.436,39;;
Salário Maternidade 13º Rescisão: 0,00;;;;;;;;;;;;;;;;;;;;;;;;
BC - FGTS: 24.402,08;;;;;FGTS Contrib.: 0,00;;;;;;FGTS: 1.952,10;;;;;;;;;BC - IRRF: 10.289,82;;;;
;;;;;;;;;;;;;;;;BC - INSS: 16.975,08;;;;;;;;
Complemento de Folha com Encargos;;;;;;;;;;;;;;;;;;;;;;;;
Proventos;;;;;;;;Referência;;;Valor;;Descontos;;;;;;;;Referência;Valor;;
011  Salário-Base;;;;;;;;;;;0,00;;302  Assistência Médica Amil;;;;;;;;;0,00;;
030  Comissões;;;;;;;;;;;1.204,92;;310  INSS;;;;;;;;;142,52;;
049  Descanso Semanal Remunerado;;;;;;;12 dia(s);;;;301,23;;320  Vale-Transporte;;;;;;;;;0,00;;
907  Reembolso de Vale Transporte;;;;;;;;;;;13,20;;909  Assistencia Odontologica;;;;;;;;;0,00;;
956  Premio Meta - CCT;;;;;;;;;;;3.371,83;;947  Des. Refeição;;;;;;;;;0,00;;
979  Comissão F&I;;;;;;;;;;;0,00;;962  Atrasos;;;;;26min;;;;0,00;;
993  Premio Acessorios - CCT;;;;;;;;;;;8.468,75;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;142,52;;
;;;;;;;;;;;;;;;;;;;;;;13.217,41;;
;;;;;;;;;;;;;;;;;;;;;;;;
