;;;;;;;;;;;;
;BRAGA VEICULOS LTDA;;;;;;;;;;;
;;;;;;;;;;;;
;;;;Plano de Contas;;;Pág.:;;;1/1;;
;;;;;;;;;;;;
;;;;;;;Data:;;;11/06/2026;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;Hora:;;;09:42:41;;
;;;;;;;;;;;;
Conta;;Cod. Reduzido;Descrição;;;;;Tipo;;;Natureza;
1.1.2.02;;4352;Cartoes de Credito ;;;;;Sintética;;;Devedora;
1.1.2.02.001;;4353;Cartão Mastercard Crédito;;;;;Analítica;;;Devedora;
1.1.2.02.002;;4354;Cartão Visa;;;;;Analítica;;;Devedora;
1.1.2.02.003;;4355;Cartão American Express;;;;;Analítica;;;Devedora;
1.1.2.02.004;;6542;Cartão Visa Electron;;;;;Analítica;;;Devedora;
1.1.2.02.005;;6543;Cartão Dinners Credito;;;;;Analítica;;;Devedora;
1.1.2.02.006;;6544;Cartão Hipercard;;;;;Analítica;;;Devedora;
1.1.2.02.007;;6545;Cartão Mastercard Debito;;;;;Analítica;;;Devedora;
1.1.2.02.008;;6546;Cartão Elo Crédito;;;;;Analítica;;;Devedora;
1.1.2.02.009;;6547;Cartão Elo Débito;;;;;Analítica;;;Devedora;
1.1.2.02.010;;6548;Cartão JCB Crédito;;;;;Analítica;;;Devedora;
1.1.2.02.011;;6562;Cartão Parceiro BEMOL;;;;;Analítica;;;Devedora;
1.1.2.03;;4356;Outros Creditos a Receber;;;;;Sintética;;;Devedora;
1.1.2.03.001;;4357;Comissao de Consorcio;;;;;Analítica;;;Devedora;
1.1.2.03.002;;4358;Comissao de Financiamento;;;;;Analítica;;;Devedora;
1.1.2.03.003;;4359;Comissao de Seguros;;;;;Analítica;;;Devedora;
1.1.2.03.004;;4360;Comis.s/ Venda Direta;;;;;Analítica;;;Devedora;
1.1.2.03.005;;4361;Creditos Out.Concessionarias;;;;;Analítica;;;Devedora;
1.1.2.03.006;;4362;Devolucao de Compras;;;;;Analítica;;;Devedora;
1.1.2.03.007;;4363;Debitos Bancarios a Classificar;;;;;Analítica;;;Devedora;
1.1.2.03.008;;4364;Cessao de quotas a receber BV;;;;;Analítica;;;Devedora;
1.1.2.04;;4365;Cheques em Cobranca;;;;;Sintética;;;Devedora;
1.1.2.04.001;;4366;Cheques na Tesouraria - A Vencer;;;;;Analítica;;;Devedora;
1.1.2.04.002;;4367;Cheques Devolvidos;;;;;Analítica;;;Devedora;
1.1.2.04.003;;4368;(-)Desc. Cheques Custodia;;;;;Analítica;;;Credora;
1.1.2.10;;4369;(-) Prov.P/Dev. Duvidosos;;;;;Sintética;;;Credora;
1.1.2.10.001;;4370;Duplicatas a Receber;;;;;Analítica;;;Credora;
1.1.2.10.002;;4371;Cheques a Receber;;;;;Analítica;;;Credora;
1.1.3;;4372;Creditos com Terceiros;;;;;Sintética;;;Devedora;
1.1.3.01;;4373;Adiantamentos a Fornecedores;;;;;Sintética;;;Devedora;
1.1.3.01.001;;4374;Fornecedores Diversos-AF;;;;;Analítica;;;Devedora;
1.1.3.01.002;;4375;Braga Veiculos Ltda;;;;;Analítica;;;Devedora;
1.1.3.01.003;;4376;Braga Motors Ltda;;;;;Analítica;;;Devedora;
1.1.4;;4377;Credito c/ Funcionario;;;;;Sintética;;;Devedora;
1.1.4.01;;4378;Credito c/ Funcionario ;;;;;Sintética;;;Devedora;
1.1.4.01.001;;4379;Adiantamento de Salarios;;;;;Analítica;;;Devedora;
1.1.4.01.002;;4380;Adiantamento de Ferias;;;;;Analítica;;;Devedora;
1.1.4.01.003;;4381;Adiantamento de 13o. Salario;;;;;Analítica;;;Devedora;
1.1.4.01.004;;4382;Emprestimos a Funcionarios;;;;;Analítica;;;Devedora;
1.1.4.01.005;;4383;Adiantamento de Viagem;;;;;Analítica;;;Devedora;
1.1.4.01.006;;4384;Arredondamento;;;;;Analítica;;;Devedora;
1.1.4.01.007;;4385;Adiantamento Cartao de Credito;;;;;Analítica;;;Devedora;
1.1.4.01.008;;4386;Adiantamento Otica;;;;;Analítica;;;Devedora;
1.1.4.01.009;;4387;Adiantamento Funcionarios Outros ;;;;;Analítica;;;Devedora;
1.1.4.01.010;;4388;Emprestimos Funcionarios-HSBC;;;;;Analítica;;;Devedora;
1.1.4.01.011;;4389;Adto FGTS - 13? Salario;;;;;Analítica;;;Devedora;
1.1.4.01.012;;4390;Convenio;;;;;Analítica;;;Devedora;
1.1.4.02;;4391;Adiantamento de Socios;;;;;Sintética;;;Devedora;
1.1.4.02.001;;4392;Aurea Holding Ltda.;;;;;Analítica;;;Devedora;
1.1.4.02.002;;4393;Braga Participac?es Ltda.;;;;;Analítica;;;Devedora;
1.1.4.02.003;;4394;Braga Veiculos Ltda.;;;;;Analítica;;;Devedora;
1.1.4.02.004;;4395;JBN Participac?es Ltda.;;;;;Analítica;;;Devedora;
1.1.4.02.005;;4396;Kiko Participac?es Ltda.;;;;;Analítica;;;Devedora;
1.1.4.02.006;;4397;Kundalini Participac?es Ltda.;;;;;Analítica;;;Devedora;
1.1.4.02.007;;4398;Pinheiro Participac?es Ltda.;;;;;Analítica;;;Devedora;
1.1.4.02.008;;4399;Maria de Fatima Pinheiro Braga;;;;;Analítica;;;Devedora;
1.1.4.02.009;;4400;Joao Dos Santos Braga Neto;;;;;Analítica;;;Devedora;
1.1.4.02.010;;4401;Antonio Ricardo Pinheiro Braga;;;;;Analítica;;;Devedora;
1.1.4.02.011;;4402;Sandra Socorro Braga Da Rocha;;;;;Analítica;;;Devedora;
1.1.4.02.012;;4403;Joao dos Santos Braga;;;;;Analítica;;;Devedora;
1.1.4.02.013;;4404;Luciana Braga;;;;;Analítica;;;Devedora;
1.1.4.02.014;;4405;Joao Ricardo Braga;;;;;Analítica;;;Devedora;
1.1.4.02.015;;4406;Pedro Henrique Braga Lobo;;;;;Analítica;;;Devedora;
1.1.4.02.020;;4407;Aurita Holding Ltda;;;;;Analítica;;;Devedora;
1.1.4.02.021;;4408;Braga Motors Ltda;;;;;Analítica;;;Devedora;
1.1.5;;4409;Outros Creditos;;;;;Sintética;;;Devedora;
1.1.5.01;;4410;Outras Contas a Receber;;;;;Sintética;;;Devedora;
1.1.5.01.001;;4411;Outras Contas a Receber;;;;;Analítica;;;Devedora;
1.1.5.01.002;;4412;Juros a Receber;;;;;Analítica;;;Devedora;
1.1.5.03;;4413;Creditos a Receber Fabricante;;;;;Sintética;;;Devedora;
1.1.5.03.001;;4414;Conta Corrente Interna-Fabrica;;;;;Analítica;;;Devedora;
1.1.5.03.003;;4415;Bonificacao Fab. Pecas;;;;;Analítica;;;Devedora;
1.1.5.03.005;;4416;Bonificacao Fab. Veiculos;;;;;Analítica;;;Devedora;
1.1.5.03.010;;4417;RDB-VEICULOS - BMW;;;;;Analítica;;;Devedora;
1.1.5.03.011;;4418;Credito de Scrap;;;;;Analítica;;;Devedora;
1.1.5.03.012;;4419;Revisoes a Receber;;;;;Analítica;;;Devedora;
1.1.5.03.013;;4420;Hold Back;;;;;Analítica;;;Devedora;
1.1.5.03.014;;4421;RDB Motos;;;;;Analítica;;;Devedora;
1.1.5.10;;4422;Garantia a Receber Fabricante;;;;;Sintética;;;Devedora;
1.1.5.10.001;;4423;Garantia Pos-Venda;;;;;Analítica;;;Devedora;
1.1.6;;4424;Impostos a Recuperar;;;;;Sintética;;;Devedora;
1.1.6.01;;4425;Impostos a Recuperar;;;;;Sintética;;;Devedora;
1.1.6.01.001;;4426;ICMS a Recuperar-Normal;;;;;Analítica;;;Devedora;
1.1.6.01.002;;4427;ICMS a Recuperar-Antecipacao;;;;;Analítica;;;Devedora;
1.1.6.01.003;;4428;IRRF - Aplicacoes Financeira;;;;;Analítica;;;Devedora;
1.1.6.01.004;;4429;IRRF - Orgaos Publicos;;;;;Analítica;;;Devedora;
1.1.6.01.005;;4430;IRPJ - Exercicios Anteriores;;;;;Analítica;;;Devedora;
1.1.6.01.006;;4431;CSLL - Exercicios Anteriores;;;;;Analítica;;;Devedora;
1.1.6.01.007;;4432;ICMS-Orgaos Publicos;;;;;Analítica;;;Devedora;
1.1.6.01.008;;4433;CSLL - Estimativa Mensal;;;;;Analítica;;;Devedora;
1.1.6.01.009;;4434;CSLL-Orgaos Publicos;;;;;Analítica;;;Devedora;
1.1.6.01.010;;4435;IRRF - Servicos;;;;;Analítica;;;Devedora;
1.1.6.01.011;;4436;Pis/Cofins s/ Compras;;;;;Analítica;;;Devedora;
1.1.6.01.012;;4437;I.S.S. a Recuperar;;;;;Analítica;;;Devedora;
1.1.6.01.013;;4438;Cofins - Orgaos Publicos;;;;;Analítica;;;Devedora;
1.1.6.01.014;;4439;Pis - Orgaos Publicos;;;;;Analítica;;;Devedora;
1.1.6.01.015;;4440;Pis-Pago a Maior;;;;;Analítica;;;Devedora;
1.1.6.01.016;;4441;Cofins-Pago a Maior;;;;;Analítica;;;Devedora;
1.1.6.01.017;;4442;IRPJ-Pago a Maior;;;;;Analítica;;;Devedora;
1.1.6.01.018;;4443;CSLL-Paga a Maior;;;;;Analítica;;;Devedora;
1.1.6.01.019;;4444;IRPJ Estimativa Mensal;;;;;Analítica;;;Devedora;
1.1.6.01.020;;4445;Pis s/ Compras;;;;;Analítica;;;Devedora;
1.1.6.01.021;;4446;Cofins s/ Compras;;;;;Analítica;;;Devedora;
1.1.6.01.023;;4447;Credito de Reintegra;;;;;Analítica;;;Devedora;
1.1.6.01.024;;4448;ICMS a Recuperar-Ciap;;;;;Analítica;;;Devedora;
1.1.6.01.025;;4449;Saldo Credor ICMS;;;;;Analítica;;;Devedora;
1.1.6.01.029;;4450;PIS Lei 10833/03;;;;;Analítica;;;Devedora;
1.1.6.01.030;;4451;COFINS Lei 10833/03;;;;;Analítica;;;Devedora;
